Metabolite,Chemical Formaula,MZ,II_1_WTfed1,II_2_WTfed2,II_3_WTfed3,II_4_WTStarve1,II_5_WTStarve2,II_6_WTStarve3,II_7_WTRefed1,II_8_WTRefed2,II_9_WTRefed3,II_10_KOfed1,II_11_KOfed2,II_12_KOfed3,II_13_KOStarve1,II_14_KOStarve2,II_15_KOStarve3,II_16_KORefed1,II_17_KORefed2,II_18_KORefed3,HMDB,PubChem,KEGG,,,,,,
Hypotaurine,C2H7NO2S,108.012475,4785836.631,4152873.012,4226650.851,3957228.522,3943484.328,4258738.065,3292941.084,3646503.597,3137244.585,8651672.712,9236534.514,8089647.135,7353839.727,7436558.625,7751679.105,6020017.953,6482237.526,5958014.277,HMDB00965,107812,C00519,,,,,,
Taurine,C2H7NO3S,124.00739,1399655848,1467657478,1404347854,1112474139,1150363515,1016743197,1226605585,1202459419,1180736123,2563938515,2471014817,2441462881,1705147435,1815812883,1725435611,1842083125,2045562891,1828101265,HMDB00251,1123,C00245,,,,,,
Glycerol 3-phosphate,C3H9O6P,171.006402,23485376.37,22939251.44,23627884.48,50495358.54,47060426.64,49548512.64,76897179.14,75764211.01,73330448.72,62619865.27,68867638.26,64740440.41,85084540.22,86643976.99,84337202.61,152270987.9,167141718.1,151339668,HMDB00126,439162,C00093,,,,,,
O-Phospho-L-serine,C3H8NO6P,184.001651,23174970.89,26678590.07,26048975.09,6081429.918,7087865.748,6445630.665,21280312.17,25919486.21,23399945.6,13594426.89,13046424.09,12554903.78,1557705.279,1246624.614,1011688.329,9739068.486,11369945.69,9790811.49,HMDB01721,106,C01005,,,,,,
L-erythrulose,C4H8O4,119.034984,29146783.26,30944589.17,31169363.71,9469073.361,10809038.51,9340691.661,28660765.66,22378806.89,27895797.67,46174176.89,44303028.05,35615834.2,8270523.135,10033460.37,8428810.701,20791746.8,21366756.11,15784189.61,HMDB06293,5460032,C02045,,,,,,
L-threonate,C4H8O5,135.029899,118903605.3,103351539,106898104.3,25379502.36,24301816.12,21406365,66205544.74,65909694,67916145.22,151172549.8,133762500.4,132328467.7,17327566.45,18318706.68,17207196.56,51049014.74,61308370.94,48364591.55,HMDB00943,151152,C01620,,,,,,
D-Erythrose 4-phosphate,C4H9O7P,199.001317,3044277.783,2785305.114,3581749.902,1602094.773,1822846.17,1815056.163,1712612.574,1637337.483,1341880.719,2793338.79,2806702.665,2912184.378,1155605.334,1457818.728,1708544.439,2213493.828,2210198.415,2175751.308,HMDB01321,122357,C00279,,,,,,
N-phosphocreatinate,C4H10N3O5P,210.028534,554375884.1,556007367.9,540271634.3,517837666.9,514996688.6,495880991.7,467899483.8,502143737.8,441697729.2,629746829.2,600284035.8,610117302.9,570658964,548836979.2,562801249.7,433463432.6,474215510.3,428324584.3,HMDB01511,587,C02305,,,,,,
beta-hydroxy-beta-methylbutyrate,C5H10O3,117.055719,2200639.137,2032529.562,1966455.057,943656.993,668937.54,627967.044,1613632.587,1380953.325,1333636.782,3142846.545,2961709.224,2684220.876,672768.513,595896.171,567460.314,1219053.909,1256893.044,1079390.142,HMDB00754,69362,,,,,,,
Xanthine,C5H4N4O2,151.02615,50891394.91,49839517.55,50942489.59,886586.373,595020.39,783889.548,36042783.36,32077629.6,35144661,74539966.54,71498000.6,61420807.43,524477.187,530696.643,831572.517,29272300.52,32213522.59,26608788.62,HMDB00292,1188,C00385,,,,,,
(S)-dihydroorotate,C5H6N2O4,157.025482,26133664.17,36194636.85,36469774.24,5082468.435,5404214.514,4635808.023,1965335.502,2023932.915,1434974.019,12214865.03,22120696.14,28724220,4811565.12,6495494.529,6181691.244,2959595.682,4294002.789,4186488.942,HMDB03349,439216,C00337,,,,,,
"7,9-dihydro-1H-purine-2688(3H)-trione",C5H4N4O3,167.021065,7401675.195,6826200.108,6495417.921,126723.747,139687.515,168528.228,2388087.306,1921199.181,2698940.331,14752946.82,11735126.42,9528394.722,97525.998,117705.186,84795.948,2562279.819,2477708.724,1649087.271,NA,NA,NA,,,,,,
N-Carbamoyl-L-aspartate,C5H8N2O5,175.036047,4220164.101,3527868.759,3987836.55,1000,1000,1000,1000,1000,1000,7938123.57,7607990.652,6818625.705,133418.493,127427.16,1000,1000,1000,1000,HMDB00828,93072,C00438,,,,,,
(R)-2-hydroxy-4-methylpentanoate,C6H12O3,131.071369,500145.891,513334.554,510241.656,353324.538,305344.587,326496.786,389002.188,355492.116,322464.168,817133.613,761187.81,676179.177,254526.084,261898.59,230207.685,342866.31,295180.698,258798.213,HMDB00624,439960,C03264,,,,,,
4-nitrophenolate,C6H5NO3,138.019668,2603739.564,2790843.741,2597058.24,2656293.861,2481256.695,2563893.843,2240874.321,1988729.64,2068592.766,2418569.811,2044809.405,2165162.988,2204009.886,2052144.06,2005011.795,2045574.927,2034307.851,2019276.405,NA,NA,NA,,,,,,
2-methylglutaconic acid,C6H8O4,143.034984,38238859.73,39635063.28,38346154.97,11306814.47,13148361.79,12030979.17,35373585.89,27563651.42,35000059.68,56871918.37,54239012.49,46164372.75,10004869.4,12323050.62,10161076.16,26471418.57,28389059.19,20958413.28,HMDB02266,6368126,,,,,,,
adipic acid,C6H10O4,145.050634,841681.683,1053316.275,899708.658,692876.175,690789.804,822409.227,568340.343,458463.555,459898.659,462921.282,318405.876,747346.671,392824.035,357064.35,326330.634,350664.777,474254.427,384540.96,HMDB00448,196,C06104,,,,,,
lysine,C6H14N2O2,145.098252,173943340.7,187824792.7,171939481.3,4495784.016,4402768.14,4618739.73,132487625.5,133467991.5,146293810.6,139879379.3,146227192.8,133495825.9,4130805.366,4418186.517,4657458.411,110086040.9,136354939,110564355.6,HMDB00182,5962,C00047,,,,,,
2-aminomuconate,C6H7NO4,156.030233,21604007.39,23624957.21,21818252.66,18282053.07,19323220.81,18539271.04,23586302.13,20065648.71,20134360.78,28751085.49,31454198,29491475.22,22042718.09,22977800.54,20724195.81,25620995.74,27006416.32,23961699.65,HMDB01241,5280499,C02220,,,,,,
arginine,C6H14N4O2,173.1044,86918428.94,89097945.37,84905780.26,1347528.225,1276768.908,1413475.314,78831060.06,72262384.72,80746873.57,90192985.35,95418668.17,92965096.1,2070367.809,2212615.866,2348933.874,71450335.52,79524504.69,63183759.29,HMDB00517,6322,C00062,,,,,,
oxalatosuccinate,C6H6O7,189.004079,7997413.542,6992134.056,6878517.456,4623197.91,3280900.659,4832786.82,131733.501,276955.731,129233.52,2746864.734,17103.996,1331290.827,874780.497,1000,280189.887,120929.682,401844.486,156127.476,HMDB03974,972,C05379,,,,,,
D-Glucosamine 6-phosphate,C6H14NO8P,258.038431,2325662.7,2150304.651,2418719.127,1510794.267,1557266.457,1416305.445,1472858.826,1486865.919,1317446.235,5569430.028,4928891.736,5394774.234,3865469.589,3785480.109,3811882.746,3206758.704,3418985.919,3421237.584,HMDB01254,439217,C00352,,,,,,
6-Phosphogluconic acid,C6H13O10P,275.017362,6037755.075,7980171.456,9938737.164,4057251.099,5421216.144,5045015.001,4859311.134,5284861.629,3601557.336,5237859.891,6367542.081,8116868.685,2273351.994,3565519.641,3891681.474,2975479.32,4721789.091,3945493.023,HMDB01316,91493,C00345,,,,,,
2-acetamido-5-oxopentanoate,C7H11NO4,172.061533,505665.924,719881.74,616270.206,446624.298,626474.859,592461.078,474181.974,503858.553,553373.613,784228.914,841178.976,823981.569,843768.123,817041.306,704824.038,624727.98,733800.444,397210.542,HMDB06488,192878,C01250,,,,,,
N-acetyl-L-glutamate,C7H11NO5,188.056448,56644651.48,53614718.98,57297746.24,33926003.53,37160377.49,32473901.3,37115273.23,34806958.44,32816054.04,101410463.6,90090308.55,88673406.42,45133311.57,45412499.04,40925395.25,54718857.91,54007084.94,46507510.44,HMDB01138,185,C00624,,,,,,
L-cystathionine,C7H14N2O4S,221.060154,239714020.2,246283550.1,247020123.7,129515280.2,157453754.9,158967988.5,142586811.4,156046138.5,130957332.6,47152098.38,54281977.85,72804530.56,62090159.92,83883154.88,110653781.4,103741113.8,157392999.2,157485011.6,HMDB00099,439258,C02291,,,,,,
Sedoheptulose 7-phosphate,C7H15O10P,289.033012,18509661.95,17928768.5,19080914.75,16476153.13,16983310.1,16843915.28,16576209.97,16930308.39,15377369.58,23643771.99,23504542.77,25191414.71,19542087.87,19166397.3,19124034.86,19438949.88,21717681.62,18779398.42,METPA0585,NA,C05382,,,,,,
"sedoheptulose 1,7-bisphosphate",C7H16O13P2,368.999345,1682252.316,385328.19,822558.387,1210966.521,548664.654,664632.195,1487383.989,1785752.964,1650700.35,2134934.598,2130473.382,1567024.848,313840.746,313494.291,487107.324,1603975.695,1959587.463,1888990.38,HMDB60274,164735,C00447,,,,,,
4-pyridoxate,C8H9NO4,182.045883,1231261.707,1284514.47,1488146.877,154113.489,186945.072,191913.429,1112048.478,885645.912,1095028.683,1960615.8,2186554.173,1628659.557,111440.124,112093.233,116525.379,916744.212,982034.793,765068.835,HMDB00017,6723,C00847,,,,,,
