group_id,genotype_id,status_id,metabolite,normalized_control,p.value,q.value
ko_fed,ko,fed,Biotin,2.5606623647117854,0.04751112312925969,0.04751112312925969
ko_fed,ko,fed,L-cysteine,1.7208510039985268,0.01554312429308139,0.01554312429308139
ko_fed,ko,fed,Glycerol 3-phosphate,1.485014098410275,0.0016886715476930971,0.0016886715476930971
ko_fed,ko,fed,CDP-ethanolamine,1.4229425969466452,0.1386903099668772,0.1386903099668772
ko_fed,ko,fed,3-hydroxy-isovaleryl carnitine,1.4106869419443921,1.6218843667338312e-4,1.6218843667338312e-4
ko_fed,ko,fed,tetradecanoyl carnitine(myristoyl carnitine),1.3147896762701166,0.004149773490960435,0.004149773490960435
ko_fed,ko,fed,"sedoheptulose 1,7-bisphosphate",1.246883405692356,0.10655254937799939,0.10655254937799939
ko_fed,ko,fed,D-Glucosamine 6-phosphate,1.2046431257301862,0.0013180633663498213,0.0013180633663498213
ko_fed,ko,fed,lauroyl carnitine,1.199798174486465,6.763196117576373e-4,6.763196117576373e-4
ko_fed,ko,fed,taurolithocholate,1.1703258756290278,0.0023242234818804924,0.0023242234818804924
ko_fed,ko,fed,2-deoxycytidine,1.0944258097079047,0.04101675754931395,0.04101675754931395
ko_fed,ko,fed,tetradecenoate (n-C14:1),1.0931956074938765,0.002441239104332889,0.002441239104332889
ko_fed,ko,fed,tiglyl carnitine,1.0856071821877198,0.0023832825181338527,0.0023832825181338527
ko_fed,ko,fed,cytosine,1.0761781687064793,0.028336609762105218,0.028336609762105218
ko_fed,ko,fed,3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate(ketoleucine),1.04639151237917,0.010432661743458665,0.010432661743458665
ko_fed,ko,fed,Galactosylglycerol,1.0447000878496908,4.28634158219453e-4,4.28634158219453e-4
ko_fed,ko,fed,trans-caffeate/3-(4-hydroxyphenyl)pyruvate,1.0387381903669823,0.0015013846118820551,0.0015013846118820551
ko_fed,ko,fed,5-Methoxyindoleacetate,1.0189062653191125,0.018343671453876154,0.018343671453876154
ko_fed,ko,fed,Hypotaurine,0.9813372266031889,0.0010391053616029202,0.0010391053616029202
ko_fed,ko,fed,CDPcholine,0.950916883502194,0.001855869574348224,0.001855869574348224
ko_fed,ko,fed,N-Carbamoyl-L-aspartate,0.931364072352031,0.0018624500521192743,0.0018624500521192743
ko_fed,ko,fed,palmitoleate,0.9039140323970484,4.627563156278001e-5,4.627563156278001e-5
ko_fed,ko,fed,(4-hydroxy-3-methoxyphenyl)acetaldehyde,0.8987329223101513,0.01894188450763725,0.01894188450763725
ko_fed,ko,fed,sn-Glycero-3-phosphocholine,0.8881376653157638,6.516313858045615e-4,6.516313858045615e-4
ko_fed,ko,fed,4-Imidazolone-5-propanoate,0.870252242823895,0.017876424804638705,0.017876424804638705
ko_fed,ko,fed,Taurine,0.8075744637773615,7.928236013668392e-5,7.928236013668392e-5
ko_fed,ko,fed,docosahexaenoate(DHA),0.8035647103611853,0.008637559110458194,0.008637559110458194
