GeneName,control,treatment,log2FoldChange,padj
Spag9,2946.41388125835,2223.59921410353,0.49953000000000003,0.010768
Arhgef5,499.826084706475,663.774652680086,-0.30301,0.0061683
Herpud1,13613.4792590358,5756.85322311838,1.3070000000000002,1.3059e-11
Tubb2a,731.144971107263,2628.0155876036,-1.5867,4.7637e-8
Cers6,1033.2262899282,351.473451940557,1.3086,0.015963
Zfp97,110.860167472958,40.5882994810156,1.4511,1.7381e-6
Atxn7l3b,1301.33775809053,1607.49110900268,-0.20117,0.043809
Ganab,3556.92807106018,4496.67954199918,-0.23384999999999997,0.011698
Coq10a,559.114502449697,343.629029146953,0.78805,7.2352e-5
Neb,199.674399457212,691.578557334871,-1.6229,5.2852e-18
Ociad2,141.520264100141,464.807137055347,-1.4326999999999999,8.4449e-6
Hadhb,3913.70588987016,2788.41174719929,0.57301,0.02905
H6pd,11272.2563461878,7461.72057736287,0.68372,2.1946e-4
Slc12a2,425.2939660576,218.401204525419,1.0302,3.9847e-6
Pcnx,1284.87527801449,960.008910374375,0.51509,9.4723e-4
Tmem57,1457.22150542586,778.286884730074,0.99066,2.2886e-10
Nup210,307.040147209676,449.099049804591,-0.43048,0.018013
Bckdhb,1825.60109615423,1297.58569767475,0.58539,6.9275e-4
Ik,936.689133700588,1175.52026322326,-0.22293,0.02918
Hspa13,428.078164299216,783.123837969939,-0.7534000000000001,3.9632e-8
Oas1g,11.613927803327,39.628653902645,-1.3856,4.0305e-4
Trim12a,72.9672759982232,200.704068764829,-1.2450999999999999,1.279e-5
Zfand6,1878.73893343786,1053.40346781458,0.9166099999999999,5.193e-7
Gm8941,124.381873312447,324.632103399802,-1.1159999999999999,0.0012673
Nr3c2,155.18290828488,259.600026841121,-0.62081,1.1429e-4
Hspa9,11805.2558309618,9304.71096518049,0.44045,0.0014584
Abcb8,438.191343977863,581.635470409035,-0.29864,0.035533
Pbx1,793.516497602533,500.491327044517,0.73573,0.0072513
1600014C10Rik,3681.51015617379,2682.14707322042,0.54922,0.0030906
Klf11,551.03218828597,117.029513859837,2.2447,1.0451e-25
Bik,113.974549386086,61.9972293295166,0.9155599999999999,0.0076848
Hmgxb4,73.0452751600506,160.093578974855,-0.9818000000000001,3.206e-6
Plbd2,2842.37510499725,1326.72072610409,1.1784000000000001,7.1396e-13
Sbds,1124.7462357058,759.947147569279,0.657,2.7884e-4
2310010J17Rik,98.7756942751775,59.9726790306638,0.76133,0.041596
Magi3,1016.27377425326,737.772253279002,0.55538,0.0011252
Usp20,248.62444572139,156.760507414674,0.7411099999999999,0.010664999999999999
Cyp3a59,2381.24191681526,801.176631851829,1.5750000000000002,1.8675e-8
Zfp516,282.184176152962,117.476349305516,1.2973000000000001,2.4674e-6
Mvk,388.339858842194,723.43557570828,-0.71526,0.019983
Ugt1a6a,260.93699649387,138.872720103106,0.9851099999999999,7.2142e-6
Bid,359.95096959391,197.871789152785,0.9243399999999999,4.0498e-4
Itpk1,255.054295058576,428.139746229603,-0.6252,8.5203e-5
Atxn2l,2061.18780166759,1615.45754420834,0.44710000000000005,0.015368
Rps26,4277.47079266174,3194.85456805647,0.5163,6.1295e-4
Brap,5051.817277169,2041.63688537184,1.3744,4.5535e-14
Irf2bp2,3385.79886207203,1382.50698670499,1.3178,2.9023e-6
Tmem167,408.731354008693,731.625834010122,-0.7194,4.8189e-7
Cyp39a1,2812.54288363129,733.896618556824,1.6534,7.127e-4
Lin54,193.832838373384,130.971329787817,0.64847,0.021219
Chd2,1309.04249454313,889.708550214655,0.64654,9.3488e-4
Ihh,6.70383336468987,30.7891838995637,-1.3792,0.0071334
Cep170b,1579.84279229175,930.108191107657,0.85204,2.9117e-7
Nxpe2,220.639701941665,386.928456717957,-0.67273,0.0021843
