Gene.symbol,GSM738365,GSM738368,GSM738372,GSM738375,GSM738378,GSM738380
Copg1,8.28261,8.23696,8.10321,7.9004200000000004,8.05117,8.01595
Atp6v0d1,8.74776,8.84319,8.7919,9.47856,9.2208,9.18215
Golga7,9.44193,9.4599,9.51326,9.41191,9.66997,9.81311
Psph,5.96373,6.05461,6.10863,6.91498,7.41112,7.13827
Trappc4,8.50835,8.80153,8.59546,8.09542,8.68007,8.69781
Dpm2,7.49419,7.6357,7.6498100000000004,7.85332,7.79775,7.81991
Psmb5,9.74542,10.011,9.93622,10.0919,10.1353,10.0641
Dhrs1,5.00352,5.01045,4.89042,5.52955,5.5374,5.39977
Ppm1a,8.98918,8.93468,8.91949,8.9696,8.97665,9.098
Psenen,10.0558,10.3086,10.2553,10.1954,9.72794,9.99791
Anapc1,8.35785,8.39228,8.33002,7.70857,7.99134,8.19775
Mrpl43,9.09234,9.23062,9.0667,8.89729,9.17368,9.1367
Xpo7,7.36915,7.21967,7.07904,7.07963,7.31407,7.12768
Nmt1,9.63073,9.69658,9.66448,9.59457,9.60154,9.65808
Atg5,6.33831,6.62268,6.36461,5.47609,6.22583,6.33863
Mtif2,6.97408,7.00241,6.8823,6.65097,6.92316,6.95282
NA,7.21642,7.53731,7.24451,6.74848,7.23106,7.08936
Psap,9.15477,9.07774,9.03279,9.67417,9.66131,9.69199
Ube2g1,9.37826,9.34418,9.17207,9.0387,9.52669,9.44362
Zkscan3,7.50978,7.43728,7.44053,6.29962,7.13578,7.13042
Mrpl27,7.86279,8.02475,7.91464,7.93663,8.15688,8.27878
Dlg1,8.4606,8.37961,8.53375,8.64496,8.51384,8.51527
Canx,10.0119,9.939,9.96717,10.0188,10.0623,10.1077
Derl1,7.65002,7.63745,7.55734,7.95639,7.99208,7.82045
Wars,6.08606,5.64576,6.00868,6.66404,6.13777,6.74037
Psma1,9.61999,9.70883,9.60956,9.06534,9.74162,9.84797
Sar1a,8.59786,8.52474,8.45655,8.83411,8.78086,8.67858
LOC108169096///G3bp2,8.6958,8.83702,8.83632,8.89047,9.02735,8.96467
Golm1,6.28292,6.51067,5.97008,6.61625,6.32916,6.38452
Gps1,8.58486,8.61065,8.43473,8.5948,8.56197,8.55663
Ssr3,9.25874,9.38509,9.3631,9.18658,9.62427,9.76511
Rpl23,13.515,13.4477,13.4842,13.3915,13.4401,13.5187
Ctbp1,10.47,10.4293,10.3088,10.09,10.244,10.2864
Huwe1,10.1831,9.99995,9.90947,9.90801,9.92297,9.7543
Cdv3,9.88665,9.85065,9.79253,9.80453,9.87914,9.74728
Smim7,6.78736,6.89513,6.65304,5.92986,6.3453,6.2475
Copa,9.56366,9.62482,9.60424,9.00142,9.48676,9.4948
NA,8.64355,8.68638,8.58764,8.82671,8.36475,8.45044
Tug1,9.87886,9.262,9.57328,9.59768,9.35187,9.39818
